test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
81,60000,500,20,100000,30099,29894,452989950,446840565,1974570232,1974
82,60000,500,20,100000,29933,30057,448007211,451726653,1964075118,2002
83,60000,500,20,100000,30197,29797,455944503,443945503,1935247198,1988
84,60000,500,20,100000,30148,29848,454466026,445466476,1965219472,1989
85,60000,500,20,100000,30084,29911,452538570,447348916,1955076978,1993
86,60000,500,20,100000,29918,30077,447558321,452328003,1999668781,1992
87,60000,500,20,100000,30081,29912,452448321,447378828,1974532672,1993
88,60000,500,20,100000,30032,29963,450975528,448905666,2002155685,1999
89,60000,500,20,100000,30013,29983,450405091,449505136,1992823504,1991
90,60000,550,20,100000,30276,29719,458333226,441624340,2010110461,2015
91,60000,550,20,100000,30043,29948,451305946,448456326,2069030456,2015
92,60000,550,20,100000,30023,29969,450705276,449085465,2067881184,2235
93,60000,550,20,100000,29978,30019,449355231,450585190,2073984180,2005
94,60000,550,20,100000,30056,29934,451696596,448037145,2038432250,2001
95,60000,550,20,100000,29986,30008,449595091,450255036,2050433876,1997
96,60000,550,20,100000,30156,29839,454707246,445197880,2059672785,2011
97,60000,550,20,100000,30095,29898,452869560,446960151,2069104779,2024
98,60000,550,20,100000,29764,30236,442962730,457122966,2068148678,2024
99,60000,550,20,100000,30044,29949,451335990,448486275,2061710550,2006
100,60000,600,20,100000,29939,30052,448186830,451576378,2119508700,2035
101,60000,600,20,100000,29872,30123,446183128,453712626,2128644253,2036
102,60000,600,20,100000,29881,30112,446452021,453381328,2119819514,2045
103,60000,600,20,100000,29875,30121,446272750,453652381,2121433021,2044
104,60000,600,20,100000,29815,30180,444482020,455431290,2129695690,2026
105,60000,600,20,100000,30250,29747,457546375,442456878,2093250389,2064
106,60000,600,20,100000,30064,29929,451937080,447887485,2109732746,2034
107,60000,600,20,100000,30217,29775,456548653,443290200,2104125912,2043
108,60000,600,20,100000,29981,30010,449445171,450315055,2074254015,2020
109,60000,600,20,100000,30160,29835,454827880,445078530,2112529462,2015
110,60000,650,20,100000,29917,30077,447528403,452328003,-2113851551,2054
111,60000,650,20,100000,30123,29869,453712626,446093515,-2125393821,2044
112,60000,650,20,100000,29903,30092,447109656,452779278,-2128410084,2051
113,60000,650,20,100000,29800,30195,444034900,455884110,-2106201545,2064
114,60000,650,20,100000,29800,30190,444034900,455733145,-2092948039,2054
115,60000,650,20,100000,29942,30049,448276653,451486225,-2107911534,2081
116,60000,650,20,100000,30122,29869,453682503,446093515,-2136633114,2063
117,60000,650,20,100000,30092,29902,452779278,447079753,-2132973908,2066
118,60000,650,20,100000,30071,29920,452147556,447618160,-2105703692,2068
119,60000,650,20,100000,29932,30062,447977278,451876953,2127283801,2044
120,60000,700,20,100000,29980,30010,449415190,450315055,-2080685618,2079
121,60000,700,20,100000,30191,29797,455763336,443945503,-2105607547,2073
